Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
856.0114,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.0253,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.0391,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.0524,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.067,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.0811,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.0949,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1084,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1227,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1367,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1501,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1645,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1783,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.1918,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2065,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2202,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2339,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2474,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2619,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.276,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.2893,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3036,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3177,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.331,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3455,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3595,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3729,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.3872,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4012,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4152,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4288,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4429,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4569,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4703,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4862,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.4988,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.512,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5264,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5404,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5543,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5675,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5821,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.5961,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.6095,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.6238,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.6381,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.6513,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.6656,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.6796,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.6929,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7074,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7214,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7354,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7487,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7632,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7771,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.7909,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.805,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.8188,0.009532029,0.6216136,0.2461235,0.5117641,0.0002994931,0.0002910249
856.8323,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.8469,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.8608,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.8748,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.888,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9023,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9163,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9297,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9443,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9582,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9715,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.986,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
856.9999,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
857.0142,0.009532029,0.6216136,0.2461235,0.5117641,0.000299493,0.0002910248
